t,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,thetaDOT_1,thetaDOT_2,thetaDOT_3,thetaDOT_4,thetaDOT_5,thetaDOT_6
0,0.09916941,-1.74960145,1.401292527,0.74473494,2.34089483,-1.52169196,0.09572067,0.07935995,-0.0354701,0.00444533,0.2565906,0.06361358
0.008,0.09990152,-1.74899573,1.401021967,0.7447682,2.34285536,-1.52120659,0.08738387,0.07213756,-0.03220183,0.00387539,0.23375661,0.05778528
0.016,0.1005688,-1.74844616,1.400776797,0.74479704,2.34463838,-1.52076651,0.0795166,0.06532496,-0.02911951,0.00334028,0.21221269,0.05228777
0.024,0.10117503,-1.74794944,1.400555557,0.74482174,2.3462542,-1.5203691,0.07211887,0.05892215,-0.02622313,0.00284003,0.19195884,0.04712103
0.032,0.10172396,-1.74750231,1.400356737,0.74484257,2.34771316,-1.52001169,0.06519067,0.05292913,-0.02351268,0.00237462,0.17299507,0.04228508
0.04,0.10221934,-1.74710148,1.400178857,0.74485982,2.34902556,-1.51969166,0.058732,0.0473459,-0.02098818,0.00194405,0.15532136,0.03777991
0.048,0.10266492,-1.74674368,1.400020427,0.74487377,2.35020174,-1.51940633,0.05274287,0.04217247,-0.01864962,0.00154832,0.13893773,0.03360552
0.056,0.10306447,-1.74642563,1.399879967,0.74488469,2.35125201,-1.51915309,0.04722327,0.03740883,-0.01649699,0.00118744,0.12384418,0.02976191
0.064,0.10342175,-1.74614405,1.399755977,0.74489286,2.35218669,-1.51892926,0.04217321,0.03305497,-0.01453031,0.0008614,0.11004069,0.02624908
0.072,0.1037405,-1.74589566,1.399646987,0.74489857,2.3530161,-1.51873222,0.03759268,0.02911091,-0.01274957,0.00057021,0.09752728,0.02306704
0.08,0.10402448,-1.74567718,1.399551497,0.74490208,2.35375056,-1.51855931,0.03348169,0.02557665,-0.01115476,0.00031386,0.08630393,0.02021578
0.088,0.10427746,-1.74548534,1.399468017,0.74490368,2.3544004,-1.51840788,0.02984023,0.02245217,-0.0097459,0.00009236,0.07637066,0.0176953
0.096,0.10450318,-1.74531685,1.399395067,0.74490365,2.35497593,-1.5182753,0.0266683,0.01973748,-0.00852297,-0.0000943,0.06772747,0.0155056
0.104,0.1047054,-1.74516845,1.399331147,0.74490226,2.35548748,-1.51815891,0.02396591,0.01743259,-0.00748599,-0.00024612,0.06037434,0.01364668
0.112,0.10488788,-1.74503684,1.399274787,0.7448998,2.35594536,-1.51805607,0.02173305,0.01553749,-0.00663494,-0.00036309,0.05431129,0.01211855
0.12,0.10505438,-1.74491875,1.399224497,0.74489655,2.3563599,-1.51796413,0.01996973,0.01405218,-0.00596984,-0.00044522,0.04953831,0.0109212
0.128,0.10520865,-1.74481091,1.399178777,0.74489277,2.35674142,-1.51788045,0.01867594,0.01297666,-0.00549067,-0.00049251,0.0460554,0.01005463
0.136,0.10535445,-1.74471003,1.399136147,0.74488876,2.35710023,-1.51780238,0.01785168,0.01231093,-0.00519745,-0.00050495,0.04386256,0.00951884
0.144,0.10549553,-1.74461284,1.399095127,0.74488479,2.35744666,-1.51772727,0.01749696,0.012055,-0.00509016,-0.00048254,0.0429598,0.00931383
0.152,0.10563565,-1.74451606,1.399054207,0.74488113,2.35779103,-1.51765247,0.01761177,0.01220885,-0.00516882,-0.0004253,0.04334711,0.00943961
0.16,0.10577857,-1.74441641,1.399011927,0.74487808,2.35814365,-1.51757535,0.01819612,0.0127725,-0.00543341,-0.00033321,0.04502449,0.00989616
0.168,0.10592804,-1.74431061,1.398966777,0.74487589,2.35851486,-1.51749325,0.01925,0.01374594,-0.00588395,-0.00020627,0.04799194,0.0106835
0.176,0.10608782,-1.74419538,1.398917287,0.74487487,2.35891496,-1.51740353,0.02077341,0.01512917,-0.00652042,-0.00004449,0.05224947,0.01180162
0.184,0.10626167,-1.74406745,1.398861957,0.74487528,2.35935429,-1.51730354,0.02276636,0.0169222,-0.00734283,0.00015213,0.05779706,0.01325052
0.192,0.10645334,-1.74392353,1.398799307,0.74487739,2.35984316,-1.51719064,0.02522885,0.01912501,-0.00835119,0.0003836,0.06463473,0.01503021
0.2,0.10666658,-1.74376036,1.398727847,0.74488151,2.36039189,-1.51706218,0.02816086,0.02173762,-0.00954548,0.00064991,0.07276248,0.01714067
0.208,0.10690516,-1.74357464,1.398646077,0.74488789,2.3610108,-1.51691551,0.03156242,0.02476002,-0.01092572,0.00095106,0.08218029,0.01958192
0.216,0.10717283,-1.7433631,1.398552537,0.74489682,2.36171021,-1.51674799,0.0354335,0.02819221,-0.01249189,0.00128706,0.09288818,0.02235395
0.224,0.10747335,-1.74312247,1.398445717,0.74490857,2.36250045,-1.51655696,0.03977412,0.03203419,-0.014244,0.0016579,0.10488613,0.02545676
0.232,0.10781047,-1.74284946,1.398324137,0.74492343,2.36339183,-1.5163398,0.04458428,0.03628596,-0.01618206,0.00206359,0.11817417,0.02889036
0.24,0.10818795,-1.7425408,1.398186307,0.74494168,2.36439467,-1.51609384,0.04986396,0.04094753,-0.01830605,0.00250412,0.13275227,0.03265473
0.248,0.10860955,-1.74219321,1.398030747,0.74496359,2.36551931,-1.51581644,0.05561319,0.04601888,-0.02061598,0.00297949,0.14862044,0.03674989
0.256,0.10907901,-1.74180341,1.397855957,0.74498945,2.36677604,-1.51550496,0.06183194,0.05150003,-0.02311185,0.00348971,0.16577869,0.04117583
0.264,0.10960011,-1.74136812,1.397660457,0.74501952,2.3681752,-1.51515674,0.06852023,0.05739097,-0.02579367,0.00403477,0.18422701,0.04593255
0.272,0.11017659,-1.74088406,1.397442757,0.7450541,2.36972711,-1.51476915,0.07567806,0.0636917,-0.02866142,0.00461468,0.2039654,0.05102005
0.28,0.11081221,-1.74034796,1.397201377,0.74509345,2.37144209,-1.51433954,0.08330542,0.07040222,-0.03171511,0.00522943,0.22499387,0.05643834
0.288,0.11151073,-1.73975653,1.396934827,0.74513786,2.37333046,-1.51386526,0.09140231,0.07752254,-0.03495474,0.00587903,0.2473124,0.06218741
0.296,0.1122759,-1.7391065,1.396641607,0.74518761,2.37540253,-1.51334366,0.09996874,0.08505265,-0.03838032,0.00656346,0.27092101,0.06826725
