t,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,thetaDOT_1,thetaDOT_2,thetaDOT_3,thetaDOT_4,thetaDOT_5,thetaDOT_6
0,-0.36808,-1.9269,1.4876,-1.5158,-1.4064,1.2307,-1.65937658,-0.04350838,-0.18893632,1.12359929,2.95545429,-1.6208375
0.008,-0.38077,-1.9257,1.4841,-1.503,-1.3839,1.2173,-1.6192379,0.09964696,-0.36202195,1.46647546,2.88119582,-1.67406233
0.016,-0.39273,-1.9237,1.4799,-1.489,-1.3626,1.2041,-1.54593958,0.20690324,-0.48456735,1.69129193,2.74866388,-1.67203425
0.024,-0.40371,-1.9213,1.4754,-1.4746,-1.3431,1.1916,-1.43948163,0.27826047,-0.55657253,1.79804869,2.55785849,-1.61475326
0.032,-0.41344,-1.9188,1.4708,-1.4607,-1.3258,1.1802,-1.29986405,0.31371865,-0.5780375,1.78674574,2.30877963,-1.50221936
0.04,-0.42166,-1.9164,1.4667,-1.4484,-1.3112,1.1704,-1.12708683,0.31327776,-0.54896224,1.6573831,2.00142731,-1.33443255
0.048,-0.42837,-1.9143,1.4632,-1.4378,-1.2993,1.1622,-0.92187052,0.27737899,-0.47001287,1.41162915,1.63707909,-1.11237904
0.056,-0.43444,-1.912,1.4596,-1.4275,-1.2885,1.1545,-0.7779047,0.2633852,-0.42780112,1.26642075,1.38185301,-0.96429208
0.064,-0.44088,-1.9091,1.4552,-1.4152,-1.2771,1.1461,-0.76068068,0.31139445,-0.48287073,1.3734021,1.35186966,-0.97980988
0.072,-0.44829,-1.9052,1.4494,-1.3997,-1.2639,1.1361,-0.86811309,0.42072766,-0.63406101,1.72918993,1.5434263,-1.15636501
0.08,-0.45622,-1.9003,1.4423,-1.3814,-1.2498,1.1249,-0.97224211,0.54971545,-0.81015169,2.12618559,1.72932262,-1.3364202
0.088,-0.46404,-1.8945,1.434,-1.3609,-1.2359,1.1135,-0.99743012,0.6737269,-0.96904414,2.44167655,1.77525945,-1.4268544
0.096,-0.47121,-1.8879,1.4248,-1.3392,-1.2231,1.1023,-0.944455,0.79115921,-1.10885135,2.67256599,1.68259728,-1.42770317
0.104,-0.47741,-1.8812,1.4157,-1.3182,-1.212,1.0923,-0.8415332,0.84387412,-1.1611241,2.70652065,1.50068594,-1.3402556
0.112,-0.48236,-1.8753,1.4077,-1.3001,-1.2032,1.0839,-0.70282689,0.80269133,-1.09150694,2.48715918,1.25429468,-1.1651587
0.12,-0.48606,-1.8703,1.401,-1.2853,-1.1966,1.0775,-0.53155138,0.67276361,-0.90680538,2.02941807,0.94918015,-0.90856511
0.128,-0.48906,-1.8658,1.395,-1.2722,-1.1912,1.0721,-0.4054541,0.57868743,-0.77158017,1.69446947,0.72454084,-0.71924837
0.136,-0.49199,-1.8609,1.3886,-1.2584,-1.186,1.0666,-0.35773792,0.57367302,-0.75610869,1.63655569,0.63982292,-0.66074375
0.144,-0.49516,-1.8552,1.3811,-1.2425,-1.1803,1.0605,-0.3838207,0.6552722,-0.85696012,1.84546395,0.68684251,-0.72599509
0.152,-0.49836,-1.8483,1.3723,-1.2241,-1.1746,1.054,-0.40419606,0.78100623,-1.01460528,2.14398867,0.7235983,-0.79256833
0.16,-0.50131,-1.8401,1.3617,-1.203,-1.1693,1.0475,-0.38996737,0.93543618,-1.20740824,2.46772442,0.69847984,-0.81596474
0.168,-0.5038,-1.8309,1.3499,-1.18,-1.1648,1.0414,-0.34248366,1.10972606,-1.4242404,2.79864291,0.61388244,-0.79555803
0.176,-0.50575,-1.8215,1.3379,-1.1573,-1.1613,1.0361,-0.27938626,1.18832611,-1.51957085,2.90098487,0.50113003,-0.72315795
0.184,-0.50708,-1.813,1.3271,-1.1375,-1.1589,1.032,-0.20612338,1.13555095,-1.44845513,2.70194052,0.36989642,-0.5962351
0.192,-0.50784,-1.8059,1.3181,-1.1212,-1.1576,1.0292,-0.12585394,0.96558031,-1.22879524,2.23629128,0.22586864,-0.4238039
0.2,-0.5083,-1.7997,1.3102,-1.1073,-1.1567,1.0271,-0.07080475,0.82307342,-1.04322469,1.85887161,0.12706499,-0.29782804
0.208,-0.50872,-1.7938,1.3028,-1.0942,-1.156,1.0251,-0.04940413,0.74586326,-0.93950793,1.66248199,0.08865909,-0.24235894
0.216,-0.50912,-1.7877,1.2952,-1.0806,-1.1553,1.0232,-0.05550504,0.73601102,-0.92052754,1.64419674,0.09961648,-0.24727679
0.224,-0.50925,-1.7806,1.2864,-1.0653,-1.155,1.0216,-0.03894063,0.81033849,-1.00980873,1.78013901,0.06988336,-0.22999228
0.232,-0.50885,-1.7719,1.2755,-1.0472,-1.1558,1.0205,0.01134041,0.97255134,-1.21253388,2.06504897,-0.02037828,-0.17231176
0.24,-0.50787,-1.7618,1.2628,-1.0267,-1.1575,1.0203,0.08912333,1.19725036,-1.49642204,2.45160234,-0.16000463,-0.07947671
0.248,-0.50646,-1.7512,1.2496,-1.0059,-1.1601,1.0207,0.15306852,1.31548312,-1.64674441,2.62500398,-0.2747354,0.01364713
0.256,-0.5048,-1.7414,1.2373,-0.98692,-1.163,1.0219,0.19556362,1.29613843,-1.62396043,2.52728694,-0.35089616,0.10063954
0.264,-0.50306,-1.7327,1.2264,-0.9706,-1.1662,1.0234,0.21649546,1.15903814,-1.45270515,2.20164212,-0.38830576,0.17622823
0.272,-0.50141,-1.7251,1.2169,-0.95663,-1.1691,1.0251,0.21524187,1.01317329,-1.2684352,1.88555592,-0.38596813,0.21142336
0.28,-0.50003,-1.7186,1.2089,-0.94459,-1.1716,1.0266,0.19170805,0.87514736,-1.09178577,1.61520656,-0.34373155,0.20180869
0.288,-0.49874,-1.7126,1.2013,-0.9334,-1.1739,1.028,0.15849233,0.76504823,-0.94887528,1.41760386,-0.28414838,0.16720918
0.296,-0.49711,-1.7059,1.1931,-0.92136,-1.1768,1.03,0.17346458,0.7751486,-0.95967752,1.41681628,-0.31081196,0.19868996
0.304,-0.49472,-1.6976,1.1828,-0.9069,-1.1811,1.0331,0.243818,0.91691796,-1.13910518,1.62826547,-0.43659891,0.3075704
0.312,-0.49154,-1.6878,1.1705,-0.89021,-1.1868,1.0374,0.3527217,1.14484487,-1.4293663,1.97593654,-0.6313405,0.4711265
0.32,-0.48784,-1.6774,1.1574,-0.87275,-1.1934,1.0426,0.43508378,1.28291807,-1.60695568,2.16584877,-0.77836192,0.60147533
0.328,-0.48388,-1.6671,1.1445,-0.85596,-1.2005,1.0483,0.48442244,1.31361054,-1.6496169,2.16872787,-0.86604481,0.68986558
0.336,-0.47995,-1.6575,1.1324,-0.8407,-1.2075,1.0541,0.49973332,1.24976011,-1.57301534,2.0132782,-0.89272182,0.73174886
0.344,-0.47634,-1.6491,1.1218,-0.82742,-1.2139,1.0596,0.47772806,1.13339933,-1.42844124,1.79348124,-0.85293386,0.71223315
0.352,-0.47331,-1.6421,1.113,-0.81646,-1.2193,1.0641,0.4181507,0.96779985,-1.21988681,1.51665206,-0.74625602,0.63015934
0.36,-0.47064,-1.636,1.1053,-0.80702,-1.2241,1.0682,0.34628174,0.79700262,-1.00358878,1.24447033,-0.61774739,0.52528972
0.368,-0.46782,-1.6299,1.0976,-0.79759,-1.2291,1.0725,0.33244167,0.74351247,-0.9359758,1.14850477,-0.59274477,0.50822744
0.376,-0.46441,-1.6227,1.0886,-0.78684,-1.2352,1.0778,0.38076684,0.81453531,-1.02624924,1.2388473,-0.67862066,0.58547835
0.384,-0.46022,-1.6144,1.0781,-0.77455,-1.2427,1.0842,0.4744647,0.96750725,-1.22122702,1.44769331,-0.84533061,0.7306344
0.392,-0.45522,-1.6052,1.0663,-0.76113,-1.2516,1.0919,0.57378433,1.1016721,-1.3950178,1.61453732,-1.02175413,0.88118312
0.4,-0.44945,-1.5952,1.0536,-0.74704,-1.2619,1.1007,0.67704129,1.2127603,-1.54228691,1.73257788,-1.20487748,1.03447553
